api-1  | {"level":30,"time":1770279635966,"pid":1,"hostname":"59fe47891a9b","reqId":"req-1c","res":{"statusCode":200},"responseTime":0.2871059998869896,"msg":"request completed"}
api-1  | {"level":30,"time":1770279646036,"pid":1,"hostname":"59fe47891a9b","reqId":"req-1d","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":53036},"msg":"incoming request"}
api-1  | {"level":30,"time":1770279646036,"pid":1,"hostname":"59fe47891a9b","reqId":"req-1d","res":{"statusCode":200},"responseTime":0.30717500019818544,"msg":"request completed"}
api-1  | {"level":30,"time":1770279656104,"pid":1,"hostname":"59fe47891a9b","reqId":"req-1e","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":57290},"msg":"incoming request"}
api-1  | {"level":30,"time":1770279656104,"pid":1,"hostname":"59fe47891a9b","reqId":"req-1e","res":{"statusCode":200},"responseTime":0.2518290001899004,"msg":"request completed"}
api-1  | {"level":30,"time":1770279666177,"pid":1,"hostname":"59fe47891a9b","reqId":"req-1f","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":48272},"msg":"incoming request"}
api-1  | {"level":30,"time":1770279666178,"pid":1,"hostname":"59fe47891a9b","reqId":"req-1f","res":{"statusCode":200},"responseTime":0.46885200031101704,"msg":"request completed"}
api-1  | {"level":30,"time":1770279676224,"pid":1,"hostname":"59fe47891a9b","reqId":"req-1g","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":40736},"msg":"incoming request"}
api-1  | {"level":30,"time":1770279676225,"pid":1,"hostname":"59fe47891a9b","reqId":"req-1g","res":{"statusCode":200},"responseTime":0.4616479994729161,"msg":"request completed"}
api-1  | {"level":30,"time":1770279686283,"pid":1,"hostname":"59fe47891a9b","reqId":"req-1h","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":52256},"msg":"incoming request"}
api-1  | {"level":30,"time":1770279686284,"pid":1,"hostname":"59fe47891a9b","reqId":"req-1h","res":{"statusCode":200},"responseTime":0.3351469999179244,"msg":"request completed"}
api-1  | {"level":30,"time":1770279696344,"pid":1,"hostname":"59fe47891a9b","reqId":"req-1i","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":34642},"msg":"incoming request"}
api-1  | {"level":30,"time":1770279696345,"pid":1,"hostname":"59fe47891a9b","reqId":"req-1i","res":{"statusCode":200},"responseTime":0.41752499993890524,"msg":"request completed"}
api-1  | {"level":30,"time":1770279706403,"pid":1,"hostname":"59fe47891a9b","reqId":"req-1j","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":52384},"msg":"incoming request"}
api-1  | {"level":30,"time":1770279706403,"pid":1,"hostname":"59fe47891a9b","reqId":"req-1j","res":{"statusCode":200},"responseTime":0.3235150007531047,"msg":"request completed"}
api-1  | {"level":30,"time":1770279716474,"pid":1,"hostname":"59fe47891a9b","reqId":"req-1k","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":46932},"msg":"incoming request"}
api-1  | {"level":30,"time":1770279716475,"pid":1,"hostname":"59fe47891a9b","reqId":"req-1k","res":{"statusCode":200},"responseTime":0.2527100006118417,"msg":"request completed"}
api-1  | {"level":30,"time":1770279726529,"pid":1,"hostname":"59fe47891a9b","reqId":"req-1l","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":51668},"msg":"incoming request"}
api-1  | {"level":30,"time":1770279726530,"pid":1,"hostname":"59fe47891a9b","reqId":"req-1l","res":{"statusCode":200},"responseTime":0.3726289998739958,"msg":"request completed"}
api-1  | {"level":30,"time":1770279736582,"pid":1,"hostname":"59fe47891a9b","reqId":"req-1m","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":42804},"msg":"incoming request"}
api-1  | {"level":30,"time":1770279736583,"pid":1,"hostname":"59fe47891a9b","reqId":"req-1m","res":{"statusCode":200},"responseTime":0.44661100022494793,"msg":"request completed"}
api-1  | {"level":30,"time":1770279746650,"pid":1,"hostname":"59fe47891a9b","reqId":"req-1n","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":56490},"msg":"incoming request"}
api-1  | {"level":30,"time":1770279746650,"pid":1,"hostname":"59fe47891a9b","reqId":"req-1n","res":{"statusCode":200},"responseTime":0.3981170002371073,"msg":"request completed"}
api-1  | {"level":30,"time":1770279756701,"pid":1,"hostname":"59fe47891a9b","reqId":"req-1o","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":38238},"msg":"incoming request"}
api-1  | {"level":30,"time":1770279756701,"pid":1,"hostname":"59fe47891a9b","reqId":"req-1o","res":{"statusCode":200},"responseTime":0.3222849993035197,"msg":"request completed"}
api-1  | {"level":30,"time":1770279766781,"pid":1,"hostname":"59fe47891a9b","reqId":"req-1p","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":43946},"msg":"incoming request"}
api-1  | {"level":30,"time":1770279766782,"pid":1,"hostname":"59fe47891a9b","reqId":"req-1p","res":{"statusCode":200},"responseTime":0.30343700014054775,"msg":"request completed"}
api-1  | {"level":30,"time":1770279776844,"pid":1,"hostname":"59fe47891a9b","reqId":"req-1q","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":39130},"msg":"incoming request"}
api-1  | {"level":30,"time":1770279776845,"pid":1,"hostname":"59fe47891a9b","reqId":"req-1q","res":{"statusCode":200},"responseTime":0.32139099948108196,"msg":"request completed"}
api-1  | {"level":30,"time":1770279786900,"pid":1,"hostname":"59fe47891a9b","reqId":"req-1r","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":59542},"msg":"incoming request"}
api-1  | {"level":30,"time":1770279786901,"pid":1,"hostname":"59fe47891a9b","reqId":"req-1r","res":{"statusCode":200},"responseTime":0.29986999928951263,"msg":"request completed"}
api-1  | Server is starting up...
api-1  | [WhatsAppService] Initialized with Twilio
api-1  | {"level":30,"time":1770279790701,"pid":1,"hostname":"59fe47891a9b","msg":"Server listening at http://0.0.0.0:8000"}
api-1  | Server listening at http://0.0.0.0:8000
api-1  | Routes loaded.
api-1  | {"level":30,"time":1770279794877,"pid":1,"hostname":"59fe47891a9b","reqId":"req-1","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":55070},"msg":"incoming request"}
api-1  | {"level":30,"time":1770279794883,"pid":1,"hostname":"59fe47891a9b","reqId":"req-1","res":{"statusCode":200},"responseTime":5.0900980001315475,"msg":"request completed"}
api-1  | {"level":30,"time":1770279803576,"pid":1,"hostname":"59fe47891a9b","reqId":"req-2","req":{"method":"OPTIONS","url":"/api/v1/admin/auth/login","hostname":"localhost:8000","remoteAddress":"172.18.0.1","remotePort":36046},"msg":"incoming request"}
api-1  | {"level":30,"time":1770279803577,"pid":1,"hostname":"59fe47891a9b","reqId":"req-2","res":{"statusCode":204},"responseTime":1.1950510004535317,"msg":"request completed"}
api-1  | {"level":30,"time":1770279803580,"pid":1,"hostname":"59fe47891a9b","reqId":"req-3","req":{"method":"POST","url":"/api/v1/admin/auth/login","hostname":"localhost:8000","remoteAddress":"172.18.0.1","remotePort":36050},"msg":"incoming request"}
api-1  | [AdminAuth] Login attempt for: admin@loyalty.com
api-1  | {"level":30,"time":1770279803664,"pid":1,"hostname":"59fe47891a9b","reqId":"req-3","res":{"statusCode":200},"responseTime":83.36555599980056,"msg":"request completed"}
api-1  | {"level":30,"time":1770279803680,"pid":1,"hostname":"59fe47891a9b","reqId":"req-4","req":{"method":"GET","url":"/api/v1/admin/vendors","hostname":"localhost:8000","remoteAddress":"172.18.0.1","remotePort":36050},"msg":"incoming request"}
api-1  | {"level":30,"time":1770279803684,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5","req":{"method":"GET","url":"/api/v1/admin/members?limit=1","hostname":"localhost:8000","remoteAddress":"172.18.0.1","remotePort":36064},"msg":"incoming request"}
api-1  | {"level":30,"time":1770279803785,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5","res":{"statusCode":200},"responseTime":99.89939500018954,"msg":"request completed"}
api-1  | {"level":30,"time":1770279803786,"pid":1,"hostname":"59fe47891a9b","reqId":"req-6","req":{"method":"GET","url":"/api/v1/admin/members?limit=1","hostname":"localhost:8000","remoteAddress":"172.18.0.1","remotePort":36064},"msg":"incoming request"}
api-1  | {"level":30,"time":1770279803788,"pid":1,"hostname":"59fe47891a9b","reqId":"req-4","res":{"statusCode":200},"responseTime":107.24699300061911,"msg":"request completed"}
api-1  | {"level":30,"time":1770279803789,"pid":1,"hostname":"59fe47891a9b","reqId":"req-7","req":{"method":"GET","url":"/api/v1/admin/vendors","hostname":"localhost:8000","remoteAddress":"172.18.0.1","remotePort":36050},"msg":"incoming request"}
api-1  | {"level":30,"time":1770279803794,"pid":1,"hostname":"59fe47891a9b","reqId":"req-6","res":{"statusCode":200},"responseTime":8.235816000029445,"msg":"request completed"}
api-1  | {"level":30,"time":1770279803795,"pid":1,"hostname":"59fe47891a9b","reqId":"req-7","res":{"statusCode":200},"responseTime":5.233668000437319,"msg":"request completed"}
api-1  | {"level":30,"time":1770279804962,"pid":1,"hostname":"59fe47891a9b","reqId":"req-8","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":53972},"msg":"incoming request"}
api-1  | {"level":30,"time":1770279804963,"pid":1,"hostname":"59fe47891a9b","reqId":"req-8","res":{"statusCode":200},"responseTime":0.5449660001322627,"msg":"request completed"}
api-1  | {"level":30,"time":1770279805826,"pid":1,"hostname":"59fe47891a9b","reqId":"req-9","req":{"method":"GET","url":"/api/v1/admin/vendors","hostname":"localhost:8000","remoteAddress":"172.18.0.1","remotePort":36050},"msg":"incoming request"}
api-1  | {"level":30,"time":1770279805838,"pid":1,"hostname":"59fe47891a9b","reqId":"req-9","res":{"statusCode":200},"responseTime":11.06726900022477,"msg":"request completed"}
api-1  | {"level":30,"time":1770279805839,"pid":1,"hostname":"59fe47891a9b","reqId":"req-a","req":{"method":"GET","url":"/api/v1/admin/vendors","hostname":"localhost:8000","remoteAddress":"172.18.0.1","remotePort":36050},"msg":"incoming request"}
api-1  | {"level":30,"time":1770279805844,"pid":1,"hostname":"59fe47891a9b","reqId":"req-a","res":{"statusCode":200},"responseTime":4.317529000341892,"msg":"request completed"}
api-1  | {"level":30,"time":1770279815034,"pid":1,"hostname":"59fe47891a9b","reqId":"req-b","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":48836},"msg":"incoming request"}
api-1  | {"level":30,"time":1770279815035,"pid":1,"hostname":"59fe47891a9b","reqId":"req-b","res":{"statusCode":200},"responseTime":0.49092299956828356,"msg":"request completed"}
api-1  | {"level":30,"time":1770279825086,"pid":1,"hostname":"59fe47891a9b","reqId":"req-c","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":50632},"msg":"incoming request"}
api-1  | {"level":30,"time":1770279825087,"pid":1,"hostname":"59fe47891a9b","reqId":"req-c","res":{"statusCode":200},"responseTime":0.5123839993029833,"msg":"request completed"}
api-1  | {"level":30,"time":1770279835160,"pid":1,"hostname":"59fe47891a9b","reqId":"req-d","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":59218},"msg":"incoming request"}
api-1  | {"level":30,"time":1770279835161,"pid":1,"hostname":"59fe47891a9b","reqId":"req-d","res":{"statusCode":200},"responseTime":0.4156599994748831,"msg":"request completed"}
api-1  | {"level":30,"time":1770279845226,"pid":1,"hostname":"59fe47891a9b","reqId":"req-e","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":45168},"msg":"incoming request"}
api-1  | {"level":30,"time":1770279845226,"pid":1,"hostname":"59fe47891a9b","reqId":"req-e","res":{"statusCode":200},"responseTime":0.4893499994650483,"msg":"request completed"}
api-1  | {"level":30,"time":1770279855298,"pid":1,"hostname":"59fe47891a9b","reqId":"req-f","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":55522},"msg":"incoming request"}
api-1  | {"level":30,"time":1770279855299,"pid":1,"hostname":"59fe47891a9b","reqId":"req-f","res":{"statusCode":200},"responseTime":0.5095290001481771,"msg":"request completed"}
api-1  | {"level":30,"time":1770279865361,"pid":1,"hostname":"59fe47891a9b","reqId":"req-g","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":33926},"msg":"incoming request"}
api-1  | {"level":30,"time":1770279865361,"pid":1,"hostname":"59fe47891a9b","reqId":"req-g","res":{"statusCode":200},"responseTime":0.2906720004975796,"msg":"request completed"}
api-1  | {"level":30,"time":1770279867325,"pid":1,"hostname":"59fe47891a9b","reqId":"req-h","req":{"method":"OPTIONS","url":"/api/v1/admin/vendors","hostname":"localhost:8000","remoteAddress":"172.18.0.1","remotePort":36046},"msg":"incoming request"}
api-1  | {"level":30,"time":1770279867326,"pid":1,"hostname":"59fe47891a9b","reqId":"req-h","res":{"statusCode":204},"responseTime":0.5015009995549917,"msg":"request completed"}
api-1  | {"level":30,"time":1770279867327,"pid":1,"hostname":"59fe47891a9b","reqId":"req-i","req":{"method":"POST","url":"/api/v1/admin/vendors","hostname":"localhost:8000","remoteAddress":"172.18.0.1","remotePort":36050},"msg":"incoming request"}
