api-1  | {"level":30,"time":1770281842725,"pid":1,"hostname":"59fe47891a9b","reqId":"req-4p","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":47998},"msg":"incoming request"}
api-1  | {"level":30,"time":1770281842725,"pid":1,"hostname":"59fe47891a9b","reqId":"req-4p","res":{"statusCode":200},"responseTime":0.24572900030761957,"msg":"request completed"}
api-1  | {"level":30,"time":1770281852794,"pid":1,"hostname":"59fe47891a9b","reqId":"req-4q","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":44176},"msg":"incoming request"}
api-1  | {"level":30,"time":1770281852795,"pid":1,"hostname":"59fe47891a9b","reqId":"req-4q","res":{"statusCode":200},"responseTime":0.30611399933695793,"msg":"request completed"}
api-1  | {"level":30,"time":1770281862835,"pid":1,"hostname":"59fe47891a9b","reqId":"req-4r","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":58420},"msg":"incoming request"}
api-1  | {"level":30,"time":1770281862835,"pid":1,"hostname":"59fe47891a9b","reqId":"req-4r","res":{"statusCode":200},"responseTime":0.28696800023317337,"msg":"request completed"}
api-1  | {"level":30,"time":1770281872890,"pid":1,"hostname":"59fe47891a9b","reqId":"req-4s","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":46966},"msg":"incoming request"}
api-1  | {"level":30,"time":1770281872891,"pid":1,"hostname":"59fe47891a9b","reqId":"req-4s","res":{"statusCode":200},"responseTime":0.28798000048846006,"msg":"request completed"}
api-1  | {"level":30,"time":1770281882957,"pid":1,"hostname":"59fe47891a9b","reqId":"req-4t","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":58406},"msg":"incoming request"}
api-1  | {"level":30,"time":1770281882958,"pid":1,"hostname":"59fe47891a9b","reqId":"req-4t","res":{"statusCode":200},"responseTime":0.3112250007688999,"msg":"request completed"}
api-1  | {"level":30,"time":1770281893016,"pid":1,"hostname":"59fe47891a9b","reqId":"req-4u","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":50694},"msg":"incoming request"}
api-1  | {"level":30,"time":1770281893016,"pid":1,"hostname":"59fe47891a9b","reqId":"req-4u","res":{"statusCode":200},"responseTime":0.25667000003159046,"msg":"request completed"}
api-1  | {"level":30,"time":1770281903070,"pid":1,"hostname":"59fe47891a9b","reqId":"req-4v","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":46612},"msg":"incoming request"}
api-1  | {"level":30,"time":1770281903070,"pid":1,"hostname":"59fe47891a9b","reqId":"req-4v","res":{"statusCode":200},"responseTime":0.34583699982613325,"msg":"request completed"}
api-1  | {"level":30,"time":1770281913130,"pid":1,"hostname":"59fe47891a9b","reqId":"req-4w","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":34660},"msg":"incoming request"}
api-1  | {"level":30,"time":1770281913131,"pid":1,"hostname":"59fe47891a9b","reqId":"req-4w","res":{"statusCode":200},"responseTime":0.2569499993696809,"msg":"request completed"}
api-1  | {"level":30,"time":1770281923191,"pid":1,"hostname":"59fe47891a9b","reqId":"req-4x","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":41208},"msg":"incoming request"}
api-1  | {"level":30,"time":1770281923191,"pid":1,"hostname":"59fe47891a9b","reqId":"req-4x","res":{"statusCode":200},"responseTime":0.23540899995714426,"msg":"request completed"}
api-1  | {"level":30,"time":1770281933260,"pid":1,"hostname":"59fe47891a9b","reqId":"req-4y","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":51180},"msg":"incoming request"}
api-1  | {"level":30,"time":1770281933261,"pid":1,"hostname":"59fe47891a9b","reqId":"req-4y","res":{"statusCode":200},"responseTime":0.3371319994330406,"msg":"request completed"}
api-1  | {"level":30,"time":1770281943316,"pid":1,"hostname":"59fe47891a9b","reqId":"req-4z","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":33236},"msg":"incoming request"}
api-1  | {"level":30,"time":1770281943317,"pid":1,"hostname":"59fe47891a9b","reqId":"req-4z","res":{"statusCode":200},"responseTime":0.3349890001118183,"msg":"request completed"}
api-1  | {"level":30,"time":1770281953373,"pid":1,"hostname":"59fe47891a9b","reqId":"req-50","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":45652},"msg":"incoming request"}
api-1  | {"level":30,"time":1770281953373,"pid":1,"hostname":"59fe47891a9b","reqId":"req-50","res":{"statusCode":200},"responseTime":0.3366820001974702,"msg":"request completed"}
api-1  | {"level":30,"time":1770281963428,"pid":1,"hostname":"59fe47891a9b","reqId":"req-51","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":44428},"msg":"incoming request"}
api-1  | {"level":30,"time":1770281963428,"pid":1,"hostname":"59fe47891a9b","reqId":"req-51","res":{"statusCode":200},"responseTime":0.22021999955177307,"msg":"request completed"}
api-1  | {"level":30,"time":1770281973483,"pid":1,"hostname":"59fe47891a9b","reqId":"req-52","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":40290},"msg":"incoming request"}
api-1  | {"level":30,"time":1770281973484,"pid":1,"hostname":"59fe47891a9b","reqId":"req-52","res":{"statusCode":200},"responseTime":0.3031879998743534,"msg":"request completed"}
api-1  | {"level":30,"time":1770281983539,"pid":1,"hostname":"59fe47891a9b","reqId":"req-53","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":34796},"msg":"incoming request"}
api-1  | {"level":30,"time":1770281983540,"pid":1,"hostname":"59fe47891a9b","reqId":"req-53","res":{"statusCode":200},"responseTime":0.33220400009304285,"msg":"request completed"}
api-1  | {"level":30,"time":1770281993606,"pid":1,"hostname":"59fe47891a9b","reqId":"req-54","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":40588},"msg":"incoming request"}
api-1  | {"level":30,"time":1770281993607,"pid":1,"hostname":"59fe47891a9b","reqId":"req-54","res":{"statusCode":200},"responseTime":0.28542499989271164,"msg":"request completed"}
api-1  | {"level":30,"time":1770282003662,"pid":1,"hostname":"59fe47891a9b","reqId":"req-55","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":40110},"msg":"incoming request"}
api-1  | {"level":30,"time":1770282003663,"pid":1,"hostname":"59fe47891a9b","reqId":"req-55","res":{"statusCode":200},"responseTime":0.34434699919074774,"msg":"request completed"}
api-1  | {"level":30,"time":1770282013721,"pid":1,"hostname":"59fe47891a9b","reqId":"req-56","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":33728},"msg":"incoming request"}
api-1  | {"level":30,"time":1770282013721,"pid":1,"hostname":"59fe47891a9b","reqId":"req-56","res":{"statusCode":200},"responseTime":0.22588100004941225,"msg":"request completed"}
api-1  | {"level":30,"time":1770282023789,"pid":1,"hostname":"59fe47891a9b","reqId":"req-57","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":51446},"msg":"incoming request"}
api-1  | {"level":30,"time":1770282023790,"pid":1,"hostname":"59fe47891a9b","reqId":"req-57","res":{"statusCode":200},"responseTime":0.3021459998562932,"msg":"request completed"}
api-1  | {"level":30,"time":1770282033857,"pid":1,"hostname":"59fe47891a9b","reqId":"req-58","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":55386},"msg":"incoming request"}
api-1  | {"level":30,"time":1770282033858,"pid":1,"hostname":"59fe47891a9b","reqId":"req-58","res":{"statusCode":200},"responseTime":0.24012899957597256,"msg":"request completed"}
api-1  | {"level":30,"time":1770282043929,"pid":1,"hostname":"59fe47891a9b","reqId":"req-59","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":58578},"msg":"incoming request"}
api-1  | {"level":30,"time":1770282043930,"pid":1,"hostname":"59fe47891a9b","reqId":"req-59","res":{"statusCode":200},"responseTime":0.2980890003964305,"msg":"request completed"}
api-1  | {"level":30,"time":1770282054008,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5a","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":53222},"msg":"incoming request"}
api-1  | {"level":30,"time":1770282054009,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5a","res":{"statusCode":200},"responseTime":0.2482439996674657,"msg":"request completed"}
api-1  | {"level":30,"time":1770282064091,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5b","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":48900},"msg":"incoming request"}
api-1  | {"level":30,"time":1770282064092,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5b","res":{"statusCode":200},"responseTime":0.23704299982637167,"msg":"request completed"}
api-1  | {"level":30,"time":1770282074144,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5c","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":52340},"msg":"incoming request"}
api-1  | {"level":30,"time":1770282074145,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5c","res":{"statusCode":200},"responseTime":0.3080479996278882,"msg":"request completed"}
api-1  | {"level":30,"time":1770282084202,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5d","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":59452},"msg":"incoming request"}
api-1  | {"level":30,"time":1770282084202,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5d","res":{"statusCode":200},"responseTime":0.21947799995541573,"msg":"request completed"}
api-1  | {"level":30,"time":1770282094254,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5e","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":53304},"msg":"incoming request"}
api-1  | {"level":30,"time":1770282094254,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5e","res":{"statusCode":200},"responseTime":0.2954430002719164,"msg":"request completed"}
api-1  | {"level":30,"time":1770282104335,"pid":1,"hostname":"59fe47891a9b","reqId":"req-5f","req":{"method":"GET","url":"/health","hostname":"127.0.0.1:8000","remoteAddress":"127.0.0.1","remotePort":33572},"msg":"incoming request"}
